zip,lat,lon,city,state_id,county_name,urls
30002,33.77366,-84.26051,Avondale-Estates,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Avondale-Estates
30003,33.68081,-84.00732,Norcross,GA,Rockdale,http://www.rockethomes.com/real-estate-trends/GA/Norcross
30004,34.14329,-84.29948,Alpharetta,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Alpharetta
30006,33.95373,-84.54116,Marietta,GA,Cobb,http://www.rockethomes.com/real-estate-trends/GA/Marietta
30011,34.02235,-83.83769,Auburn,GA,Barrow,http://www.rockethomes.com/real-estate-trends/GA/Auburn
30012,33.71884,-83.99866,Conyers,GA,Rockdale,http://www.rockethomes.com/real-estate-trends/GA/Conyers
30014,33.57828,-83.82048,Covington,GA,Newton,http://www.rockethomes.com/real-estate-trends/GA/Covington
30017,33.89012,-83.96318,Grayson,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Grayson
30018,33.71556,-83.80152,Jersey,GA,Walton,http://www.rockethomes.com/real-estate-trends/GA/Jersey
30019,33.97647,-83.88229,Dacula,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Dacula
30021,33.80816,-84.23816,Clarkston,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Clarkston
30024,34.06239,-84.09069,Suwanee,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Suwanee
30025,33.65591,-83.69573,Social-Circle,GA,Walton,http://www.rockethomes.com/real-estate-trends/GA/Social-Circle
30026,33.97658,-84.15005,North-Metro,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/North-Metro
30028,34.28964,-84.17949,Cumming,GA,Forsyth,http://www.rockethomes.com/real-estate-trends/GA/Cumming
30030,33.77126,-84.29204,Decatur,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Decatur
30038,33.6706,-84.14236,Lithonia,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Lithonia
30039,33.79966,-84.0332,Snellville,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Snellville
30042,33.92354,-84.07302,Lawrenceville,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Lawrenceville
30047,33.87064,-84.11267,Lilburn,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Lilburn
30052,33.81581,-83.8947,Loganville,GA,Walton,http://www.rockethomes.com/real-estate-trends/GA/Loganville
30054,33.67579,-83.87454,Oxford,GA,Newton,http://www.rockethomes.com/real-estate-trends/GA/Oxford
30055,33.4897,-83.74234,Mansfield,GA,Jasper,http://www.rockethomes.com/real-estate-trends/GA/Mansfield
30056,33.49701,-83.6627,Newborn,GA,Jasper,http://www.rockethomes.com/real-estate-trends/GA/Newborn
30070,33.57416,-83.89538,Porterdale,GA,Newton,http://www.rockethomes.com/real-estate-trends/GA/Porterdale
30072,33.79136,-84.20593,Pine-Lake,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Pine-Lake
30074,33.74461,-84.13599,Redan,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Redan
30075,34.05248,-84.38741,Roswell,GA,Fulton,http://www.rockethomes.com/real-estate-trends/GA/Roswell
30079,33.79242,-84.25768,Scottdale,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Scottdale
30080,33.87137,-84.50105,Smyrna,GA,Cobb,http://www.rockethomes.com/real-estate-trends/GA/Smyrna
30083,33.79518,-84.19442,Stone-Mountain,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Stone-Mountain
30084,33.85431,-84.21596,Tucker,GA,DeKalb,http://www.rockethomes.com/real-estate-trends/GA/Tucker
30092,33.97168,-84.23515,Peachtree-Corners,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Peachtree-Corners
30095,33.97752,-84.1487,Duluth,GA,Gwinnett,http://www.rockethomes.com/real-estate-trends/GA/Duluth
30101,34.04345,-84.71271,Acworth,GA,Cobb,http://www.rockethomes.com/real-estate-trends/GA/Acworth
30103,34.36661,-84.92071,Adairsville,GA,Bartow,http://www.rockethomes.com/real-estate-trends/GA/Adairsville
30106,33.83605,-84.62705,Austell,GA,Cobb,http://www.rockethomes.com/real-estate-trends/GA/Austell
